/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'green', 'left', None, 'forward')
('right', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 1.31

('left', 'green', 'forward', None, 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', None, 'right', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'forward', None, 'left')
 -- forward : -32.51
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'right', 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', None, 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.41
 -- None : 0.00

('forward', 'red', 'left', 'forward', 'right')
 -- forward : -32.67
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'left', 'right', 'forward')
 -- forward : -7.40
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', None, 'right', None)
 -- forward : 0.00
 -- left : 1.14
 -- right : 0.00
 -- None : -3.86

('left', 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- left : -8.31
 -- right : 0.00
 -- None : 0.00

('left', 'green', None, 'right', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'right', None, 'right')
 -- forward : 1.41
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', None, 'forward', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.07
 -- None : 0.00

('left', 'red', None, 'forward', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'right', 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'forward', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : -0.06
 -- None : 0.00

('right', 'red', None, 'right', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.11

('forward', 'green', 'left', 'forward', None)
 -- forward : 0.00
 -- left : 0.56
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'forward', 'left', None)
 -- forward : 0.00
 -- left : -0.13
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'left', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'right', 'left', 'left')
 -- forward : 0.00
 -- left : -7.22
 -- right : 0.29
 -- None : 0.00

('forward', 'green', None, 'left', 'left')
 -- forward : 2.03
 -- left : 0.00
 -- right : 0.00
 -- None : -4.10

('forward', 'green', None, 'right', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'left', 'right', None)
 -- forward : -8.50
 -- left : -7.64
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'right', 'left', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'forward', 'forward', 'left')
 -- forward : 0.00
 -- left : 1.23
 -- right : 0.00
 -- None : 0.00

('forward', 'green', None, None, None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.32
 -- None : 0.00

('left', 'green', 'left', 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', None, 'left', 'right')
 -- forward : -7.39
 -- left : 0.00
 -- right : 0.00
 -- None : 1.30

('right', 'red', 'right', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.29
 -- None : 0.00

('left', 'green', 'left', 'right', None)
 -- forward : 0.00
 -- left : 1.93
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, None, 'left')
 -- forward : -7.21
 -- left : 0.00
 -- right : -0.13
 -- None : 2.12

('forward', 'red', None, 'forward', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', None, 'forward', None)
 -- forward : 0.40
 -- left : -0.30
 -- right : 0.00
 -- None : -4.75

('forward', 'red', 'right', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 1.03

('right', 'red', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : -16.49
 -- None : 0.00

('left', 'green', 'left', 'forward', 'left')
 -- forward : 1.28
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'forward', None, 'forward')
 -- forward : 0.00
 -- left : -16.79
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'left', 'forward', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'forward', None, None)
 -- forward : -32.26
 -- left : 0.00
 -- right : -15.61
 -- None : 0.00

('right', 'red', 'right', None, None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', None, None, 'forward')
 -- forward : 1.30
 -- left : -15.69
 -- right : 0.00
 -- None : -4.56

('right', 'red', 'forward', 'right', None)
 -- forward : -32.12
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'right', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.03
 -- None : 0.00

('left', 'red', 'forward', 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'left', 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', None, None, 'forward')
 -- forward : -7.34
 -- left : -7.39
 -- right : -0.35
 -- None : 0.00

('forward', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'right', 'forward', None)
 -- forward : 0.76
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'right', 'left', 'forward')
 -- forward : 0.00
 -- left : -7.71
 -- right : 0.00
 -- None : 0.00

('right', 'green', None, 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'left', 'forward', None)
 -- forward : 0.00
 -- left : -32.13
 -- right : 1.36
 -- None : 0.00

('forward', 'green', 'forward', 'left', 'left')
 -- forward : 0.75
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'left', 'forward', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.81
 -- None : 0.00

('left', 'red', 'forward', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'left', 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.74
 -- None : 0.00

('right', 'red', None, None, None)
 -- forward : -7.21
 -- left : -7.34
 -- right : 1.59
 -- None : -0.02

('forward', 'green', 'left', None, None)
 -- forward : 0.00
 -- left : 1.36
 -- right : -0.13
 -- None : -3.57

('forward', 'green', 'left', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', None, 'left', None)
 -- forward : -0.36
 -- left : 2.27
 -- right : 0.00
 -- None : -3.66

('left', 'green', None, None, 'forward')
 -- forward : -0.24
 -- left : -16.08
 -- right : 0.75
 -- None : -4.70

('left', 'red', 'left', 'right', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'left', 'right', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, 'right', 'left')
 -- forward : -7.49
 -- left : -7.91
 -- right : 1.19
 -- None : 0.00

('right', 'red', None, None, 'left')
 -- forward : -7.28
 -- left : 0.00
 -- right : 0.86
 -- None : 0.00

('right', 'green', None, 'left', 'forward')
 -- forward : 0.00
 -- left : -15.33
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'right', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', None, 'forward', None)
 -- forward : 0.00
 -- left : -31.63
 -- right : 0.00
 -- None : 0.20

('right', 'red', None, 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'forward', None, 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.55
 -- None : 0.00

('right', 'red', 'forward', 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : -15.73
 -- None : 0.00

('right', 'red', 'right', 'right', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'right', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', None, 'forward', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'left', None, 'forward')
 -- forward : -7.22
 -- left : 0.00
 -- right : 0.00
 -- None : 0.81

('left', 'red', None, 'forward', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'forward', 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'right', 'left', None)
 -- forward : 0.00
 -- left : -7.23
 -- right : 0.00
 -- None : 0.89

('left', 'red', 'left', 'forward', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'right', 'right', None)
 -- forward : 0.00
 -- left : 1.50
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, 'right', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'left', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.80

('left', 'green', None, 'left', 'forward')
 -- forward : -0.18
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- left : -8.11
 -- right : 0.00
 -- None : 0.00

('forward', 'green', None, 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.19
 -- None : -4.71

('left', 'green', 'forward', 'left', 'right')
 -- forward : 0.00
 -- left : -15.43
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'right', None, 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'right', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'forward', 'right', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', None, None, 'left')
 -- forward : 0.00
 -- left : 1.04
 -- right : -0.07
 -- None : -4.74

('forward', 'green', 'forward', None, 'forward')
 -- forward : 0.00
 -- left : -16.41
 -- right : 0.00
 -- None : -3.89

('right', 'green', 'right', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'forward', None, None)
 -- forward : 1.43
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'left', 'right', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.40

('left', 'green', None, 'right', None)
 -- forward : 0.00
 -- left : 1.77
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'left', 'left', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', None, 'forward', 'left')
 -- forward : -31.89
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'left', 'right', 'forward')
 -- forward : 1.13
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', None, None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 2.19

('left', 'red', 'left', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 1.80

('right', 'green', None, 'right', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', None, None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 2.66
 -- None : 0.00

('left', 'red', 'left', 'left', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'right', 'forward', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'left', 'right', 'forward')
 -- forward : 0.00
 -- left : -7.83
 -- right : 0.00
 -- None : 0.00

('left', 'green', None, 'right', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'left', 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'right', 'left', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'forward', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'left', 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : -4.16

('forward', 'red', 'forward', 'left', None)
 -- forward : -31.47
 -- left : -31.82
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'left', 'right', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'forward', 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'left', None, None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.08
 -- None : 0.00

